%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.Longtitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1580264615328048566,1,1580264615327163934,gps,42.3385016667,71.0877033333,23.4,671982.861942,4689471.58555,42,T
1580264616329099790,2,1580264616328397989,gps,42.3385016667,71.0877033333,23.4,671982.861942,4689471.58555,42,T
1580264617389495804,3,1580264617388659000,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264618328322366,4,1580264618327814102,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264619327843153,5,1580264619326926946,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264620329250576,6,1580264620328432083,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264621328772184,7,1580264621327945947,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264622389029176,8,1580264622388197898,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264623328463320,9,1580264623327574014,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264624329603626,10,1580264624328610897,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264625329810616,11,1580264625328622102,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264626332362869,12,1580264626331444978,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264627392719974,13,1580264627391788959,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264628332803887,14,1580264628331849098,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264629349748276,15,1580264629348916053,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264630349905239,16,1580264630349092006,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264631354259699,17,1580264631353390932,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264632414499768,18,1580264632413635969,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264633330216895,19,1580264633329865932,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264634329759189,20,1580264634328969955,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264635330337285,21,1580264635329587936,gps,42.338505,71.087705,23.4,671982.990159,4689471.95906,42,T
1580264636350531884,22,1580264636349737882,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264637408608818,23,1580264637407841920,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264638331227867,24,1580264638330498933,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264639330519076,25,1580264639329711914,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264640353895752,26,1580264640353298902,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264641329472481,27,1580264641328603029,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264642388753084,28,1580264642387834072,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264643328915759,29,1580264643328120946,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264644329750111,30,1580264644328794002,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264645329825005,31,1580264645328877925,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264646350306576,32,1580264646349544048,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264647410718313,33,1580264647409954071,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264648349375103,34,1580264648348419904,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264649349462422,35,1580264649348643064,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264650329176421,36,1580264650328361034,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264651348622935,37,1580264651347774982,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
1580264652409022233,38,1580264652408207893,gps,42.338505,71.0877033333,23.4,671982.852855,4689471.95569,42,T
