%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.Longtitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1580334467296263882,5,1580334467295337915,gps,42.3388633333,-71.08812,25.7,327983.798259,4689512.58873,19,T
1580334468297237903,6,1580334468296381950,gps,42.3388633333,-71.08812,25.7,327983.798259,4689512.58873,19,T
1580334469314967186,7,1580334469314009904,gps,42.3388633333,-71.08812,25.7,327983.798259,4689512.58873,19,T
1580334470314606288,8,1580334470313731908,gps,42.3388633333,-71.08812,25.7,327983.798259,4689512.58873,19,T
1580334471296335248,9,1580334471295496940,gps,42.3388633333,-71.08812,25.7,327983.798259,4689512.58873,19,T
1580334472315137020,10,1580334472314368009,gps,42.3388633333,-71.08812,25.7,327983.798259,4689512.58873,19,T
1580334473315207467,11,1580334473314378976,gps,42.3388633333,-71.0881183333,25.6,327983.935562,4689512.58536,19,T
1580334474298041692,12,1580334474297275066,gps,42.3388633333,-71.0881183333,25.6,327983.935562,4689512.58536,19,T
1580334475295668743,13,1580334475295422077,gps,42.3388633333,-71.0881183333,25.6,327983.935562,4689512.58536,19,T
1580334476297178339,14,1580334476296343088,gps,42.3388633333,-71.0881183333,25.6,327983.935562,4689512.58536,19,T
1580334477315635089,15,1580334477314862966,gps,42.3388633333,-71.0881183333,25.6,327983.935562,4689512.58536,19,T
1580334478315211612,16,1580334478314359903,gps,42.3388633333,-71.0881183333,25.6,327983.935562,4689512.58536,19,T
1580334479315205900,17,1580334479314301967,gps,42.3388633333,-71.0881183333,25.5,327983.935562,4689512.58536,19,T
1580334480336141869,18,1580334480335264921,gps,42.3388633333,-71.0881183333,25.5,327983.935562,4689512.58536,19,T
1580334481314498821,19,1580334481313560009,gps,42.3388633333,-71.0881183333,25.5,327983.935562,4689512.58536,19,T
1580334482315043147,20,1580334482314232110,gps,42.3388633333,-71.0881183333,25.5,327983.935562,4689512.58536,19,T
1580334483295741962,21,1580334483294950962,gps,42.3388633333,-71.0881183333,25.5,327983.935562,4689512.58536,19,T
1580334484314854537,22,1580334484314030885,gps,42.3388633333,-71.0881166667,25.5,327984.072865,4689512.58199,19,T
1580334485315349780,23,1580334485314260959,gps,42.3388633333,-71.0881166667,25.5,327984.072865,4689512.58199,19,T
1580334486316604205,24,1580334486315809011,gps,42.3388633333,-71.0881166667,25.4,327984.072865,4689512.58199,19,T
1580334487316312952,25,1580334487315382957,gps,42.3388633333,-71.0881166667,25.4,327984.072865,4689512.58199,19,T
1580334488315903994,26,1580334488315073966,gps,42.3388633333,-71.0881166667,25.4,327984.072865,4689512.58199,19,T
1580334489296345085,27,1580334489296046972,gps,42.3388633333,-71.0881166667,25.4,327984.072865,4689512.58199,19,T
1580334490297267416,28,1580334490296431064,gps,42.3388633333,-71.0881166667,25.4,327984.072865,4689512.58199,19,T
1580334491316295232,29,1580334491315460920,gps,42.3388633333,-71.0881166667,25.4,327984.072865,4689512.58199,19,T
1580334492317223342,30,1580334492316418886,gps,42.338865,-71.0881166667,25.4,327984.07741,4689512.76706,19,T
1580334493298370458,31,1580334493297601938,gps,42.338865,-71.0881166667,25.4,327984.07741,4689512.76706,19,T
1580334494315593358,32,1580334494314596891,gps,42.3388633333,-71.0881066667,24.3,327984.896684,4689512.56176,19,T
1580334495316355502,33,1580334495315438985,gps,42.3388633333,-71.0881066667,24.2,327984.896684,4689512.56176,19,T
1580334496296073299,34,1580334496295281887,gps,42.3388633333,-71.0881066667,24.2,327984.896684,4689512.56176,19,T
1580334497314146430,35,1580334497313359022,gps,42.3388633333,-71.0881066667,24.2,327984.896684,4689512.56176,19,T
1580334498315409570,36,1580334498314584016,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334499315102582,37,1580334499314065933,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334500295142582,38,1580334500294279098,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334501295999645,39,1580334501295176029,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334502295982182,40,1580334502295111894,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334503295645252,41,1580334503294632911,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334504296986325,42,1580334504296092033,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334505295985221,43,1580334505295224905,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334506295872280,44,1580334506294985055,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334507295181966,45,1580334507294223070,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334508295184393,46,1580334508294313907,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334509295506018,47,1580334509294703006,gps,42.3388633333,-71.0880983333,23.4,327985.583201,4689512.5449,19,T
1580334510311390847,48,1580334510310657978,gps,42.3388633333,-71.0880983333,23.5,327985.583201,4689512.5449,19,T
1580334511295241170,49,1580334511294382095,gps,42.338865,-71.0880983333,23.5,327985.587745,4689512.72997,19,T
1580334512295069827,50,1580334512294231891,gps,42.338865,-71.0880983333,23.5,327985.587745,4689512.72997,19,T
1580334513295366381,51,1580334513294523954,gps,42.338865,-71.0880983333,23.5,327985.587745,4689512.72997,19,T
1580334514297407829,52,1580334514296535015,gps,42.338865,-71.0880983333,23.5,327985.587745,4689512.72997,19,T
1580334515296888393,53,1580334515295903921,gps,42.338865,-71.0880983333,23.5,327985.587745,4689512.72997,19,T
1580334516316486787,54,1580334516315665960,gps,42.3388666667,-71.0880933333,23.0,327986.0042,4689512.90492,19,T
1580334517297492481,55,1580334517296691894,gps,42.3388666667,-71.0880933333,23.0,327986.0042,4689512.90492,19,T
1580334518297292438,56,1580334518296504020,gps,42.3388666667,-71.0880933333,23.0,327986.0042,4689512.90492,19,T
1580334519314719087,57,1580334519313994884,gps,42.3388666667,-71.0880933333,23.0,327986.0042,4689512.90492,19,T
1580334520315475416,58,1580334520314470052,gps,42.3388666667,-71.0880933333,23.0,327986.0042,4689512.90492,19,T
1580334521297863273,59,1580334521297080993,gps,42.3388666667,-71.0880933333,23.0,327986.0042,4689512.90492,19,T
1580334522317457329,60,1580334522316629886,gps,42.3388666667,-71.0880933333,23.0,327986.0042,4689512.90492,19,T
1580334523315759256,61,1580334523314946889,gps,42.3388683333,-71.08809,22.3,327986.283351,4689513.08325,19,T
1580334524297919437,62,1580334524297043085,gps,42.3388683333,-71.08809,22.3,327986.283351,4689513.08325,19,T
1580334525297578402,63,1580334525296762943,gps,42.3388683333,-71.08809,22.3,327986.283351,4689513.08325,19,T
1580334526297217923,64,1580334526296431064,gps,42.3388683333,-71.08809,22.3,327986.283351,4689513.08325,19,T
1580334527315368086,65,1580334527314510107,gps,42.33887,-71.0880883333,21.6,327986.425199,4689513.26495,19,T
1580334528298796657,66,1580334528297966003,gps,42.33887,-71.0880883333,21.6,327986.425199,4689513.26495,19,T
1580334529316329943,67,1580334529315511941,gps,42.33887,-71.0880883333,21.6,327986.425199,4689513.26495,19,T
1580334530297254571,68,1580334530296525955,gps,42.33887,-71.0880883333,21.6,327986.425199,4689513.26495,19,T
1580334531315884944,69,1580334531314951896,gps,42.33887,-71.0880883333,21.6,327986.425199,4689513.26495,19,T
1580334532296865949,70,1580334532296082019,gps,42.33887,-71.0880883333,21.0,327986.425199,4689513.26495,19,T
1580334533298072945,71,1580334533297256946,gps,42.33887,-71.0880883333,21.0,327986.425199,4689513.26495,19,T
1580334534316802269,72,1580334534315977096,gps,42.33887,-71.0880883333,21.0,327986.425199,4689513.26495,19,T
