%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.Longtitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1580339273307282536,1,1580339273306276082,,42.3388116667,-71.0924566667,22.1,327626.393989,4689515.63392,19,T
1580339274813345744,2,1580339274812654018,,42.338815,-71.0924483333,21.5,327627.089615,4689515.98717,19,T
1580339277824624517,3,1580339277823899030,,42.3388183333,-71.092435,21.0,327628.19715,4689516.33028,19,T
1580339279330320978,4,1580339279329756021,,42.3388266667,-71.0924216667,20.4,327629.318348,4689517.2286,19,T
1580339280836604683,5,1580339280835901021,,42.338835,-71.0924083333,20.0,327630.439545,4689518.12693,19,T
1580339282342616622,6,1580339282342015027,,42.3388433333,-71.0923916667,19.9,327631.835349,4689519.01849,19,T
1580339283848765267,7,1580339283848083972,,42.3388516667,-71.092375,19.8,327633.231152,4689519.91006,19,T
1580339286860502274,8,1580339286859819889,,42.3388583333,-71.09236,20.3,327634.485098,4689520.61994,19,T
1580339288367045462,9,1580339288366219997,,42.3388683333,-71.092345,20.5,327635.748151,4689521.69995,19,T
1580339289872328947,10,1580339289871443033,,42.3388766667,-71.0923283333,20.6,327637.143954,4689522.59152,19,T
1580339291379154556,11,1580339291378334045,,42.3388866667,-71.092315,20.8,327638.269703,4689523.67492,19,T
1580339292886138309,12,1580339292885416984,,42.338895,-71.0923016667,21.0,327639.390898,4689524.57324,19,T
1580339295898107532,13,1580339295897366046,,42.3389033333,-71.092285,21.4,327640.786699,4689525.46481,19,T
1580339297403807689,14,1580339297403275966,,42.33891,-71.0922666667,21.7,327642.31525,4689526.16793,19,T
1580339298910537221,15,1580339298909967899,,42.3389183333,-71.09225,22.1,327643.71105,4689527.0595,19,T
1580339300416970184,16,1580339300416116952,,42.3389233333,-71.092235,22.2,327644.96044,4689527.58431,19,T
1580339301923179589,17,1580339301922540903,,42.3389316667,-71.0922216667,22.4,327646.081634,4689528.48263,19,T
1580339304934773896,18,1580339304934120893,,42.3389383333,-71.0922066667,22.8,327647.335576,4689529.19251,19,T
1580339306441166047,19,1580339306440463066,,42.3389466667,-71.0921916667,23.0,327648.594073,4689530.08746,19,T
1580339307947307254,20,1580339307946577072,,42.3389533333,-71.0921783333,23.0,327649.710712,4689530.80072,19,T
1580339309455487277,21,1580339309454822063,,42.33896,-71.0921616667,23.0,327651.101957,4689531.50722,19,T
1580339310963818095,22,1580339310963124036,,42.338965,-71.0921466667,23.0,327652.351345,4689532.03202,19,T
1580339313979074178,23,1580339313978344917,,42.33897,-71.0921316667,23.1,327653.600733,4689532.55683,19,T
1580339315487594733,24,1580339315486917018,,42.338975,-71.0921166667,23.1,327654.850121,4689533.08164,19,T
1580339316995916469,25,1580339316995155096,,42.3389816667,-71.0921033333,22.8,327655.966759,4689533.7949,19,T
1580339318503886704,26,1580339318503319978,,42.3389866667,-71.0920883333,22.9,327657.216146,4689534.31971,19,T
1580339320012153350,27,1580339320011616945,,42.338995,-71.0920716667,23.1,327658.611943,4689535.21128,19,T
1580339323025616414,28,1580339323024874925,,42.3390033333,-71.0920583333,23.3,327659.733134,4689536.10961,19,T
1580339324534176532,29,1580339324531975984,,42.33901,-71.0920433333,23.5,327660.987074,4689536.81949,19,T
1580339326039564030,30,1580339326038852930,,42.3390366667,-71.0920316667,24.9,327662.021047,4689539.75697,19,T
1580339327546546404,31,1580339327545845031,,42.3390483333,-71.0920166667,25.3,327663.288646,4689541.02206,19,T
1580339329053390436,32,1580339329052839994,,42.339055,-71.0920033333,25.5,327664.405282,4689541.73532,19,T
1580339332066924397,33,1580339332066211938,,42.3390583333,-71.0919883333,25.6,327665.650114,4689542.07506,19,T
1580339333573279685,34,1580339333572755098,,42.3390616667,-71.0919716667,25.6,327667.032249,4689542.41142,19,T
1580339335080699244,35,1580339335080056905,,42.3390666667,-71.0919566667,25.8,327668.281634,4689542.93623,19,T
1580339336588462014,36,1580339336587724924,,42.33907,-71.0919416667,26.0,327669.526466,4689543.27597,19,T
1580339338096261347,37,1580339338095514059,,42.3390733333,-71.0919266667,26.1,327670.771297,4689543.61572,19,T
1580339341110699716,38,1580339341110054016,,42.339075,-71.0919116667,26.1,327672.011576,4689543.77038,19,T
1580339342618152421,39,1580339342617491960,,42.3390783333,-71.0918966667,26.1,327673.256407,4689544.11013,19,T
1580339344125601659,40,1580339344124998092,,42.3390816667,-71.0918816667,25.9,327674.501238,4689544.44987,19,T
1580339345631982728,41,1580339345631427049,,42.339085,-71.0918683333,26.0,327675.608767,4689544.79299,19,T
1580339347138941327,42,1580339347138133049,,42.3390883333,-71.091855,26.0,327676.716295,4689545.1361,19,T
1580339350151815276,43,1580339350151103019,,42.3390916667,-71.0918416667,25.8,327677.823823,4689545.47922,19,T
1580339351659670822,44,1580339351658972024,,42.3390966667,-71.0918283333,25.7,327678.935904,4689546.00741,19,T
1580339353166665110,45,1580339353165957927,,42.3390983333,-71.0918133333,25.5,327680.176181,4689546.16209,19,T
1580339354673840972,46,1580339354673113107,,42.3391016667,-71.0918,25.3,327681.283709,4689546.50521,19,T
1580339356182009010,47,1580339356181497097,,42.3391033333,-71.091785,24.9,327682.523987,4689546.65988,19,T
1580339359195417554,48,1580339359194693088,,42.3391066667,-71.0917716667,24.9,327683.631514,4689547.003,19,T
1580339360703040425,49,1580339360702419996,,42.33911,-71.0917583333,24.7,327684.739042,4689547.34612,19,T
1580339362210304594,50,1580339362209758043,,42.3391133333,-71.091745,24.6,327685.846569,4689547.68924,19,T
1580339363717828080,51,1580339363717207908,,42.3391183333,-71.09173,24.5,327687.095951,4689548.21405,19,T
1580339365225254847,52,1580339365224592924,,42.3391233333,-71.0917166667,24.5,327688.208031,4689548.74224,19,T
1580339368238140987,53,1580339368237531900,,42.3391283333,-71.0917033333,24.4,327689.32011,4689549.27044,19,T
1580339369745210390,54,1580339369744616031,,42.3391316667,-71.0916916667,24.2,327690.290334,4689549.61693,19,T
1580339371252818577,55,1580339371252230882,,42.339135,-71.0916783333,24.0,327691.397861,4689549.96006,19,T
1580339372760467734,56,1580339372759885072,,42.3391366667,-71.0916666667,23.8,327692.363532,4689550.12148,19,T
1580339374265232858,57,1580339374265038967,,42.33914,-71.091655,23.6,327693.333756,4689550.46798,19,T
1580339377278995023,58,1580339377278314113,,42.3391433333,-71.0916433333,23.4,327694.303979,4689550.81448,19,T
1580339378786286630,59,1580339378785800933,,42.3391466667,-71.0916316667,23.2,327695.274203,4689551.16098,19,T
1580339380294034078,60,1580339380293361902,,42.3391516667,-71.09162,23.1,327696.248979,4689551.69255,19,T
1580339381801767385,61,1580339381800995111,,42.339155,-71.0916066667,22.9,327697.356505,4689552.03567,19,T
1580339383309544519,62,1580339383308760881,,42.3391566667,-71.0915933333,22.5,327698.459478,4689552.19373,19,T
1580339386322605270,63,1580339386321932077,,42.33916,-71.09158,22.4,327699.567004,4689552.53685,19,T
1580339387828531677,64,1580339387827790021,,42.3391633333,-71.0915666667,22.2,327700.674529,4689552.87997,19,T
1580339389336710541,65,1580339389335992097,,42.3391683333,-71.0915533333,22.1,327701.786607,4689553.40817,19,T
1580339390843929527,66,1580339390843316078,,42.3391716667,-71.09154,21.8,327702.894133,4689553.75129,19,T
1580339392352806568,67,1580339392351581096,,42.339175,-71.0915266667,21.4,327704.001658,4689554.09441,19,T
1580339395366905180,68,1580339395366249084,,42.3391783333,-71.0915116667,21.1,327705.246485,4689554.43416,19,T
1580339396875137676,69,1580339396874461889,,42.339185,-71.0914983333,21.1,327706.363115,4689555.14742,19,T
1580339398383201839,70,1580339398382388114,,42.3391916667,-71.091485,21.2,327707.479744,4689555.86069,19,T
1580339399891661548,71,1580339399890844106,,42.3391983333,-71.0914716667,21.4,327708.596373,4689556.57395,19,T
1580339401400253035,72,1580339401399498939,,42.339205,-71.0914583333,21.5,327709.713001,4689557.28722,19,T
1580339404414549690,73,1580339404413640022,,42.3392116667,-71.091445,21.5,327710.829629,4689558.00049,19,T
1580339405922265928,74,1580339405921597957,,42.3392183333,-71.0914316667,21.6,327711.946258,4689558.71375,19,T
1580339407429521121,75,1580339407428826093,,42.339225,-71.0914183333,21.6,327713.062885,4689559.42702,19,T
1580339408936636522,76,1580339408936014890,,42.33923,-71.091405,21.7,327714.174961,4689559.95521,19,T
1580339410444286219,77,1580339410443547010,,42.3392383333,-71.0913933333,21.7,327715.158838,4689560.85693,19,T
1580339413457174900,78,1580339413456399917,,42.3392483333,-71.0913816667,21.7,327716.147267,4689561.94371,19,T
1580339414964833921,79,1580339414964112043,,42.339255,-71.0913683333,21.7,327717.263894,4689562.65698,19,T
1580339416471680738,80,1580339416470978021,,42.339265,-71.091355,22.0,327718.389624,4689563.74039,19,T
1580339417979710652,81,1580339417978910923,,42.339275,-71.0913433333,22.2,327719.378052,4689564.82717,19,T
1580339419487837720,82,1580339419487085103,,42.3392833333,-71.09133,22.4,327720.49923,4689565.72551,19,T
1580339422501729840,83,1580339422500998973,,42.33929,-71.0913166667,22.4,327721.615855,4689566.43878,19,T
1580339424010053497,84,1580339424009363889,,42.339295,-71.0913033333,22.5,327722.727929,4689566.96698,19,T
1580339425518002031,85,1580339425517478942,,42.3392983333,-71.0912883333,22.5,327723.972754,4689567.30673,19,T
1580339427025294537,86,1580339427024671077,,42.3393016667,-71.0912733333,22.3,327725.217578,4689567.64648,19,T
1580339428531499572,87,1580339428530956983,,42.3393066667,-71.09126,22.1,327726.329651,4689568.17467,19,T
1580339431545534215,88,1580339431544828891,,42.33931,-71.091245,22.0,327727.574475,4689568.51442,19,T
1580339433052708483,89,1580339433051937103,,42.339315,-71.0912316667,21.8,327728.686548,4689569.04262,19,T
1580339434560187053,90,1580339434559523105,,42.3393183333,-71.0912166667,21.6,327729.931372,4689569.38237,19,T
1580339436067529697,91,1580339436066771030,,42.3393233333,-71.0912033333,21.4,327731.043445,4689569.91057,19,T
1580339437575443087,92,1580339437574713945,,42.339325,-71.0911883333,21.0,327732.283717,4689570.06525,19,T
1580339440590334586,93,1580339440589749097,,42.3393266667,-71.091175,20.7,327733.386686,4689570.22331,19,T
1580339442098751684,94,1580339442097975015,,42.33933,-71.0911616667,20.6,327734.494207,4689570.56644,19,T
1580339443605865228,95,1580339443605254888,,42.3393333333,-71.0911466667,20.3,327735.73903,4689570.90619,19,T
1580339445113757744,96,1580339445112832069,,42.3393383333,-71.0911333333,20.2,327736.851102,4689571.43439,19,T
1580339446620775544,97,1580339446620192050,,42.3393433333,-71.09112,20.3,327737.963174,4689571.96259,19,T
1580339449634312608,98,1580339449633768081,,42.33935,-71.0911066667,20.4,327739.079797,4689572.67586,19,T
1580339451142087919,99,1580339451141407012,,42.3393566667,-71.0910933333,20.6,327740.19642,4689573.38913,19,T
1580339452648491565,100,1580339452647979974,,42.3393633333,-71.09108,20.7,327741.313043,4689574.1024,19,T
1580339454156569793,101,1580339454155976057,,42.3393716667,-71.0910666667,20.8,327742.434216,4689575.00074,19,T
1580339455663448712,102,1580339455662856101,,42.33938,-71.0910566667,20.9,327743.280785,4689575.90583,19,T
1580339458677264895,103,1580339458676666975,,42.3393883333,-71.091045,21.1,327744.264656,4689576.80755,19,T
1580339460184773664,104,1580339460184103012,,42.3393966667,-71.0910316667,21.2,327745.385829,4689577.70589,19,T
1580339461692867981,105,1580339461692207098,,42.3394033333,-71.0910183333,21.4,327746.50245,4689578.41916,19,T
1580339463200965040,106,1580339463200170040,,42.33941,-71.091005,21.5,327747.619071,4689579.13244,19,T
1580339464708852509,107,1580339464708369970,,42.3394166667,-71.0909916667,21.6,327748.735692,4689579.84571,19,T
1580339467723890959,108,1580339467723263025,,42.339425,-71.0909783333,21.8,327749.856864,4689580.74405,19,T
1580339469232328699,109,1580339469231580972,,42.3394333333,-71.0909666667,22.0,327750.840733,4689581.64577,19,T
1580339470740206827,110,1580339470739535093,,42.3394416667,-71.090955,22.2,327751.824602,4689582.54749,19,T
1580339472248543601,111,1580339472247893095,,42.3394516667,-71.0909433333,22.5,327752.813022,4689583.63428,19,T
1580339473755713163,112,1580339473755078077,,42.3394616667,-71.0909316667,22.9,327753.801441,4689584.72107,19,T
1580339476769007198,113,1580339476768346071,,42.33947,-71.09092,23.2,327754.78531,4689585.62279,19,T
1580339478276370555,114,1580339478275612115,,42.3394783333,-71.09091,23.4,327755.631876,4689586.52788,19,T
1580339479783587341,115,1580339479782824993,,42.3394833333,-71.0908983333,23.6,327756.606642,4689587.05946,19,T
1580339481291021105,116,1580339481290266036,,42.3394883333,-71.0908883333,23.8,327757.444106,4689587.59442,19,T
1580339482798447539,117,1580339482797743082,,42.339495,-71.0908766667,23.8,327758.423422,4689588.31107,19,T
1580339485812408276,118,1580339485811566114,,42.3395033333,-71.090865,24.1,327759.40729,4689589.21279,19,T
1580339487319358665,119,1580339487318773984,,42.3395116667,-71.0908533333,24.3,327760.391157,4689590.11451,19,T
1580339488827427063,120,1580339488826689004,,42.33952,-71.0908416667,24.5,327761.375023,4689591.01623,19,T
1580339490334608635,121,1580339490333908081,,42.3395316667,-71.09083,24.9,327762.367991,4689592.28809,19,T
1580339491841318691,122,1580339491840713024,,42.3395416667,-71.09082,25.1,327763.219106,4689593.37826,19,T
1580339494855297179,123,1580339494854389905,,42.3395533333,-71.0908116667,25.4,327763.93747,4689594.65687,19,T
1580339496362586068,124,1580339496361793994,,42.3395583333,-71.0908033333,25.5,327764.637631,4689595.1952,19,T
1580339497870108207,125,1580339497869401931,,42.3395766667,-71.0907966667,26.8,327765.236895,4689597.21748,19,T
1580339499377639276,126,1580339499376885890,,42.3395866667,-71.0907916667,27.6,327765.676104,4689598.31777,19,T
1580339500883854915,127,1580339500883352041,,42.33961,-71.0907883333,29.0,327766.014416,4689600.90201,19,T
1580339503897431160,128,1580339503896852970,,42.33963,-71.0907816667,30.1,327766.61823,4689603.10936,19,T
1580339505405659717,129,1580339505405019998,,42.3396366667,-71.0907733333,30.5,327767.322941,4689603.83276,19,T
1580339506913318720,130,1580339506912642955,,42.3396416667,-71.0907616667,30.8,327768.297703,4689604.36434,19,T
1580339508420497237,131,1580339508419821977,,42.33963,-71.0907483333,30.5,327769.364262,4689603.04184,19,T
1580339509927621528,132,1580339509926827907,,42.33962,-71.090735,30.3,327770.435372,4689601.9044,19,T
1580339512941354759,133,1580339512940749883,,42.3396116667,-71.090725,29.7,327771.236429,4689600.95879,19,T
1580339514448899046,134,1580339514448235034,,42.3396033333,-71.0907133333,28.9,327772.174788,4689600.00981,19,T
1580339515956756474,135,1580339515956121921,,42.339595,-71.0906983333,28.5,327773.387751,4689599.05407,19,T
1580339517464589952,136,1580339517464015960,,42.3395883333,-71.0906883333,28.6,327774.193359,4689598.29353,19,T
1580339518972457110,137,1580339518971575975,,42.33958,-71.0906783333,28.0,327774.994417,4689597.34792,19,T
1580339521985821807,138,1580339521984937906,,42.3395733333,-71.0906666667,27.6,327775.937328,4689596.58401,19,T
1580339523493605615,139,1580339523492954015,,42.3395666667,-71.0906533333,27.2,327777.01754,4689595.81672,19,T
1580339525001306782,140,1580339525000638008,,42.3395616667,-71.09064,26.6,327778.102303,4689595.2345,19,T
1580339526510165508,141,1580339526509397983,,42.3395566667,-71.0906266667,26.1,327779.187066,4689594.65228,19,T
1580339528017409608,142,1580339528015271902,,42.3395533333,-71.09061,25.7,327780.550983,4689594.24838,19,T
1580339531028749388,143,1580339531028084039,,42.339555,-71.0905916667,25.3,327782.065853,4689594.39632,19,T
1580339532535678402,144,1580339532535017967,,42.3395583333,-71.090575,24.9,327783.447971,4689594.73271,19,T
1580339534042516199,145,1580339534041831016,,42.3395633333,-71.0905583333,24.7,327784.834639,4689595.25416,19,T
1580339535549128674,146,1580339535548619985,,42.3395683333,-71.09054,24.4,327786.358608,4689595.77224,19,T
1580339537056214281,147,1580339537055622100,,42.33957,-71.090515,24.8,327788.422684,4689595.90668,19,T
1580339540069380457,148,1580339540068753957,,42.3395733333,-71.0904966667,24.6,327789.942103,4689596.23969,19,T
1580339541577590779,149,1580339541576827049,,42.339575,-71.09048,24.0,327791.31967,4689596.391,19,T
1580339543085099611,150,1580339543084186077,,42.33958,-71.0904633333,23.8,327792.706337,4689596.91246,19,T
1580339544592922656,151,1580339544592096090,,42.3395833333,-71.0904483333,23.6,327793.951152,4689597.25222,19,T
1580339546100842238,152,1580339546100019931,,42.3395883333,-71.0904333333,23.5,327795.200517,4689597.77705,19,T
1580339549115557998,153,1580339549114698886,,42.339595,-71.0904216667,23.3,327796.179828,4689598.49371,19,T
1580339550622850402,154,1580339550622258901,,42.3396,-71.0904083333,23.2,327797.291891,4689599.02192,19,T
1580339552130912455,155,1580339552130095958,,42.3396066667,-71.0904,23.0,327797.996598,4689599.74532,19,T
1580339553637702698,156,1580339553637058019,,42.339615,-71.0903916667,22.7,327798.705855,4689600.6538,19,T
1580339555144973707,157,1580339555144288063,,42.3396233333,-71.0903833333,22.6,327799.415112,4689601.56227,19,T
1580339558158396070,158,1580339558157665014,,42.33963,-71.0903733333,22.5,327800.257121,4689602.28231,19,T
1580339559666462842,159,1580339559665745019,,42.3396383333,-71.090365,22.4,327800.966377,4689603.19078,19,T
1580339561173736705,160,1580339561173151969,,42.339645,-71.090355,22.2,327801.808386,4689603.91081,19,T
1580339562682184363,161,1580339562681436061,,42.3396516667,-71.090345,22.1,327802.650394,4689604.63084,19,T
1580339564189732191,162,1580339564189019918,,42.33966,-71.090335,22.0,327803.496951,4689605.53594,19,T
1580339567203638878,163,1580339567203109979,,42.339665,-71.0903233333,21.9,327804.471711,4689606.06753,19,T
1580339568710705882,164,1580339568709949970,,42.3396666667,-71.09031,21.6,327805.574672,4689606.2256,19,T
1580339570217744631,165,1580339570217135906,,42.3396716667,-71.0902966667,21.3,327806.686733,4689606.75381,19,T
1580339571725274837,166,1580339571724668025,,42.339675,-71.090285,21.2,327807.656943,4689607.10032,19,T
