%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.Longtitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1580349707560735866,1,1580349707560491085,,42.3393366667,-71.088235,29.8,327975.615122,4689565.38146,19,T
1580349709063413350,2,1580349709063237905,,42.3393366667,-71.088235,29.8,327975.615122,4689565.38146,19,T
1580349710565895769,3,1580349710565735101,,42.3393366667,-71.088235,29.8,327975.615122,4689565.38146,19,T
1580349713570800704,4,1580349713570600986,,42.3393366667,-71.088235,29.8,327975.615122,4689565.38146,19,T
1580349715073295236,5,1580349715073077917,,42.3393366667,-71.088235,29.8,327975.615122,4689565.38146,19,T
1580349716575767554,6,1580349716575589895,,42.3393366667,-71.088235,29.8,327975.615122,4689565.38146,19,T
1580349718078357579,7,1580349718078161954,,42.3393366667,-71.088235,29.8,327975.615122,4689565.38146,19,T
1580349719580507365,8,1580349719580353021,,42.3393366667,-71.088235,29.8,327975.615122,4689565.38146,19,T
1580349722585463531,9,1580349722585266113,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349724087866875,10,1580349724087642908,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349725590368296,11,1580349725590183973,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349727093237164,12,1580349727093030929,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349728596159282,13,1580349728595987081,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349731600508561,14,1580349731600328922,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349733103038401,15,1580349733102827072,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349734605663746,16,1580349734605421066,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349736108100254,17,1580349736107918977,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349737610564547,18,1580349737610374927,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349740615677673,19,1580349740615137100,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349742117860650,20,1580349742117697954,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349743620100331,21,1580349743619901895,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349745122799990,22,1580349745122648000,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349746624987503,23,1580349746624825000,,42.3393383333,-71.088235,29.8,327975.619667,4689565.56653,19,T
1580349749629751817,24,1580349749629575014,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349751133244682,25,1580349751132531881,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349752635465961,26,1580349752635344028,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349754137970424,27,1580349754137828111,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349755640718544,28,1580349755640588998,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349758646442735,29,1580349758646310091,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349760149242043,30,1580349760149053096,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349761652001226,31,1580349761651801109,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349763155052459,32,1580349763154886960,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349764657857079,33,1580349764657649040,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349767663142585,34,1580349767662934064,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349769165756250,35,1580349769165560007,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
1580349770668404963,36,1580349770668251037,,42.33934,-71.088235,29.8,327975.624212,4689565.7516,19,T
