%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.Longtitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1580411218547951131,1,1580411218547116041,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411221555004033,2,1580411221554387092,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411224562298119,3,1580411224561600923,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411227569361568,4,1580411227568723917,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411230576629169,5,1580411230575943946,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411236591863293,6,1580411236591196060,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411239600716310,7,1580411239600096940,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411242609817207,8,1580411242609252929,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411245619449515,9,1580411245618936061,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411248628282397,10,1580411248627763986,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411254645215610,11,1580411254644419908,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411257653845335,12,1580411257653126001,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411260660798449,13,1580411260660166978,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411263669252359,14,1580411263668608903,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411266677051401,15,1580411266676373004,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411272693922672,16,1580411272693264961,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411275703143277,17,1580411275702225923,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411278711548612,18,1580411278710979938,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411281721951434,19,1580411281721137046,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411284730673231,20,1580411284730110883,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411290746716491,21,1580411290745990037,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411293755687722,22,1580411293754992961,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411296764785148,23,1580411296764065980,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411299773075236,24,1580411299772475957,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411302782264785,25,1580411302781511068,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411308799914926,26,1580411308799210071,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411311809699823,27,1580411311808984041,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411314818202198,28,1580411314817609071,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411317826928401,29,1580411317826435089,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411320835612048,30,1580411320835020065,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411326850548711,31,1580411326849914073,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411329858997520,32,1580411329858414888,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411332867638366,33,1580411332867023944,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411335876846407,34,1580411335876163005,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411338885338329,35,1580411338884650945,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411344902406913,36,1580411344901665925,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411347910156143,37,1580411347909487962,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411350919216872,38,1580411350918603897,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411353928089082,39,1580411353927408933,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411356937229943,40,1580411356936677932,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411362953644909,41,1580411362952886104,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411365961965218,42,1580411365961426019,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411368970907872,43,1580411368970258951,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411371979548232,44,1580411371979088068,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411374988302974,45,1580411374987562894,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411381006724055,46,1580411381006063938,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411384016408513,47,1580411384015830039,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411387024928013,48,1580411387024337053,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411390033734580,49,1580411390033243894,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411393042363657,50,1580411393041687011,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411399059238366,51,1580411399058635950,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411402068268014,52,1580411402067650079,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411405077986880,53,1580411405077287912,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411408086772436,54,1580411408086035013,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411411095824043,55,1580411411095247030,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411417112623285,56,1580411417111901044,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411420121477687,57,1580411420120683908,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411423130063636,58,1580411423129502058,,42.3372266667,-71.090255,14.7,327803.445343,4689335.17074,19,T
1580411426139031042,59,1580411426138353109,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411429147443640,60,1580411429146878004,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411435162756875,61,1580411435162297964,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411438171096701,62,1580411438170532941,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411441179376819,63,1580411441178811073,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411444188353348,64,1580411444187709093,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411447196093191,65,1580411447195544958,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411453211770323,66,1580411453211153030,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411456220017526,67,1580411456219384908,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411459227907288,68,1580411459227179050,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411462236429331,69,1580411462235707998,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411465244432961,70,1580411465243814945,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411471259980024,71,1580411471259186029,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411474268654568,72,1580411474267878055,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411477276677367,73,1580411477275906085,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411480285560745,74,1580411480284821987,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411483294564267,75,1580411483293809890,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411489310671223,76,1580411489310010910,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411492319638188,77,1580411492318986892,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411495328859861,78,1580411495328048944,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411498338111309,79,1580411498337281942,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411501346250008,80,1580411501345721960,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411507363200114,81,1580411507362518072,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411510372802557,82,1580411510372188091,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411513381851760,83,1580411513381238937,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411516390882089,84,1580411516390242099,,42.3372266667,-71.090255,14.8,327803.445343,4689335.17074,19,T
1580411519400399273,85,1580411519399524927,,42.337225,-71.090255,14.8,327803.440794,4689334.98567,19,T
1580411525416774036,86,1580411525416045904,,42.337225,-71.090255,14.8,327803.440794,4689334.98567,19,T
1580411528425956982,87,1580411528425240039,,42.337225,-71.090255,14.9,327803.440794,4689334.98567,19,T
1580411531434707138,88,1580411531433902025,,42.337225,-71.090255,14.9,327803.440794,4689334.98567,19,T
1580411534443456746,89,1580411534442755937,,42.337225,-71.090255,14.9,327803.440794,4689334.98567,19,T
1580411537452131123,90,1580411537451172113,,42.337225,-71.090255,14.9,327803.440794,4689334.98567,19,T
1580411543468159824,91,1580411543467569112,,42.337225,-71.0902566667,14.9,327803.303487,4689334.98904,19,T
1580411546477412216,92,1580411546476650953,,42.337225,-71.0902566667,14.9,327803.303487,4689334.98904,19,T
1580411549486949068,93,1580411549486252069,,42.337225,-71.0902566667,14.9,327803.303487,4689334.98904,19,T
1580411552496278985,94,1580411552495685100,,42.337225,-71.0902566667,14.9,327803.303487,4689334.98904,19,T
1580411555505567348,95,1580411555505315065,,42.337225,-71.0902566667,14.9,327803.303487,4689334.98904,19,T
