%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.utm_zone,field.utm_zone_letter
1581013926269255840,9,1581013926262877941,,42.3373216667,-71.0897116667,0.48,327848.466609,4689344.6196,19,T
1581013927269340654,10,1581013927262367010,,42.3373216667,-71.08971,0.48,327848.603916,4689344.61623,19,T
1581013928266558939,11,1581013928261787891,,42.3373166667,-71.08971,0.476666666667,327848.590272,4689344.06102,19,T
1581013929268550795,12,1581013929262280941,,42.3373083333,-71.0897083333,0.475,327848.704838,4689343.13229,19,T
1581013930269321844,13,1581013930261311054,,42.3372933333,-71.08971,0.473333333333,327848.526598,4689341.47003,19,T
1581013931268125130,14,1581013931261579036,,42.3372766667,-71.089715,0.471666666667,327848.069198,4689339.62944,19,T
1581013932269885042,15,1581013932263734102,,42.3372616667,-71.0897233333,0.47,327847.341731,4689337.98068,19,T
1581013933268619637,16,1581013933261580944,,42.3372433333,-71.0897333333,0.466666666667,327846.467861,4689335.96515,19,T
1581013934268484567,17,1581013934261363983,,42.337225,-71.0897483333,0.455,327845.18207,4689333.95974,19,T
1581013935268687844,18,1581013935262141942,,42.3372066667,-71.089765,0.446666666667,327843.758972,4689331.95771,19,T
1581013936270395149,19,1581013936262238979,,42.3371833333,-71.0897833333,0.44,327842.184921,4689329.40384,19,T
1581013937269501565,20,1581013937262310981,,42.3371583333,-71.0898,0.433333333333,327840.743628,4689326.66152,19,T
1581013938269409418,21,1581013938262532949,,42.3371266667,-71.0898133333,0.43,327839.558754,4689323.17217,19,T
1581013939268101080,22,1581013939261457920,,42.3370933333,-71.0898183333,0.423333333333,327839.055867,4689319.48088,19,T
1581013940269327025,23,1581013940262232065,,42.3370616667,-71.089815,0.408333333333,327839.244064,4689315.95779,19,T
1581013941269024623,24,1581013941262026071,,42.33703,-71.0897983333,0.406666666667,327840.530719,4689312.40771,19,T
1581013942268942556,25,1581013942262959003,,42.337005,-71.0897766667,0.408333333333,327842.24749,4689309.58778,19,T
1581013943267156617,26,1581013943262438058,,42.336985,-71.0897483333,0.408333333333,327844.527137,4689307.30957,19,T
1581013944268833154,27,1581013944262865066,,42.33697,-71.08971,0.406666666667,327847.644273,4689305.56632,19,T
1581013945269371371,28,1581013945262912034,,42.3369666667,-71.0896666667,0.405,327851.205169,4689305.10845,19,T
1581013946268601751,29,1581013946262496948,,42.33697,-71.0896216667,0.401666666667,327854.921565,4689305.38749,19,T
1581013947269150944,30,1581013947262592077,,42.3369833333,-71.08958,0.398333333333,327858.390631,4689306.7837,19,T
1581013948269057731,31,1581013948262713909,,42.3370033333,-71.089545,0.393333333333,327861.328658,4689308.93369,19,T
1581013949269505674,32,1581013949262878894,,42.33703,-71.0895183333,0.385,327863.598337,4689311.84084,19,T
1581013950267997202,33,1581013950261194944,,42.3370516667,-71.0895016667,0.383333333333,327865.030529,4689314.21302,19,T
1581013951274546121,34,1581013951267543077,,42.3370783333,-71.0894916667,0.388333333333,327865.927133,4689317.15391,19,T
1581013952269530328,35,1581013952263096094,,42.3371033333,-71.0894916667,0.391666666667,327865.995347,4689319.92997,19,T
1581013953268458051,36,1581013953261822938,,42.33713,-71.0895033333,0.395,327865.106959,4689322.91471,19,T
1581013954265573404,37,1581013954260596036,,42.33716,-71.0895233333,0.396666666667,327863.541133,4689326.28647,19,T
1581013955269845613,38,1581013955262399911,,42.3371833333,-71.0895516667,0.396666666667,327861.270583,4689328.93482,19,T
1581013956268847015,39,1581013956262370109,,42.3372033333,-71.0895866667,0.396666666667,327858.441711,4689331.22652,19,T
1581013957269542409,40,1581013957263040065,,42.3372166667,-71.0896233333,0.396666666667,327855.457343,4689332.78132,19,T
1581013958269362068,41,1581013958262387037,,42.3372233333,-71.08966,0.395,327852.454784,4689333.59583,19,T
1581013959268583386,42,1581013959262339115,,42.33722,-71.0897016667,0.39,327849.013017,4689333.31005,19,T
1581013960269440803,43,1581013960262893915,,42.3372083333,-71.089745,0.381666666667,327845.411202,4689332.10229,19,T
1581013961269291368,44,1581013961261230945,,42.3371883333,-71.08978,0.378333333333,327842.473179,4689329.9523,19,T
1581013962270794631,45,1581013962264275074,,42.3371616667,-71.0898116667,0.378333333333,327839.791576,4689327.05528,19,T
1581013963269048796,46,1581013963262414932,,42.3371333333,-71.0898333333,0.38,327837.929263,4689323.95295,19,T
1581013964267939772,47,1581013964261514902,,42.3370983333,-71.0898416667,0.381666666667,327837.147213,4689320.08334,19,T
1581013965270659887,48,1581013965261739969,,42.337065,-71.0898366667,0.378333333333,327837.468167,4689316.3718,19,T
1581013966268183254,49,1581013966261069059,,42.3370333333,-71.0898216667,0.373333333333,327838.617514,4689312.82509,19,T
1581013967268182176,50,1581013967261699914,,42.3370066667,-71.089795,0.371666666667,327840.741658,4689309.80997,19,T
1581013968268442390,51,1581013968262419939,,42.3369833333,-71.089765,0.37,327843.149515,4689307.15824,19,T
1581013969269426970,52,1581013969262531042,,42.3369733333,-71.08972,0.341666666667,327846.829525,4689305.95671,19,T
1581013970268763320,53,1581013970262193918,,42.3369666667,-71.0896733333,0.33,327850.65594,4689305.12195,19,T
1581013971281433456,54,1581013971274507999,,42.3369733333,-71.08963,0.321666666667,327854.244123,4689305.7745,19,T
1581013972276236638,55,1581013972269761085,,42.3369883333,-71.0895883333,0.315,327857.717738,4689307.35578,19,T
1581013973276306596,56,1581013973269879102,,42.3370066667,-71.0895533333,0.306666666667,327860.651217,4689309.32071,19,T
1581013974278813408,57,1581013974270195960,,42.3370283333,-71.0895266667,0.301666666667,327862.907253,4689311.67264,19,T
1581013975277197493,58,1581013975269599914,,42.3370466667,-71.0895083333,0.296666666667,327864.467657,4689313.6713,19,T
1581013976274596887,59,1581013976267391920,,42.3370633333,-71.0894983333,0.296666666667,327865.336976,4689315.50177,19,T
1581013977273672957,60,1581013977267457008,,42.3370833333,-71.08949,0.303333333333,327866.078083,4689317.70574,19,T
1581013978279649995,61,1581013978270788908,,42.3371016667,-71.08949,0.305,327866.128107,4689319.74152,19,T
1581013979280059661,62,1581013979273405075,,42.337125,-71.08949,0.315,327866.191773,4689322.33251,19,T
1581013980276735715,63,1581013980268198013,,42.3371483333,-71.0894933333,0.323333333333,327865.980825,4689324.93025,19,T
1581013981276524320,64,1581013981268085956,,42.33717,-71.0894983333,0.331666666667,327865.628023,4689327.34629,19,T
1581013982276224397,65,1581013982269675970,,42.337195,-71.0895066667,0.333333333333,327865.009703,4689330.13922,19,T
1581013983273207800,66,1581013983266885995,,42.3372133333,-71.089515,0.333333333333,327864.373192,4689332.19186,19,T
1581013984278824787,67,1581013984272602081,,42.3372316667,-71.0895266667,0.331666666667,327863.462069,4689334.25126,19,T
1581013985278837641,68,1581013985271933078,,42.3372483333,-71.0895416667,0.33,327862.271785,4689336.13233,19,T
1581013986279967158,69,1581013986273102998,,42.33727,-71.0895633333,0.328333333333,327860.545917,4689338.58211,19,T
1581013987274709388,70,1581013987267770051,,42.3372833333,-71.0895916667,0.326666666667,327858.248086,4689340.12004,19,T
1581013988273205513,71,1581013988266938924,,42.33729,-71.089625,0.323333333333,327855.520143,4689340.9278,19,T
1581013989281426785,72,1581013989273879051,,42.3372833333,-71.0896616667,0.318333333333,327852.481204,4689340.26175,19,T
1581013990283985861,73,1581013990276750087,,42.3372733333,-71.0896966667,0.316666666667,327849.570475,4689339.22219,19,T
1581013991281992731,74,1581013991274152994,,42.3372566667,-71.0897333333,0.313333333333,327846.504246,4689337.44571,19,T
1581013992281705615,75,1581013992275655031,,42.3372366667,-71.0897666667,0.313333333333,327843.703533,4689335.29235,19,T
1581013993276704970,76,1581013993269932985,,42.3372133333,-71.089795,0.316666666667,327841.305641,4689332.75873,19,T
1581013994275964497,77,1581013994269084930,,42.3371866667,-71.0898216667,0.318333333333,327839.035958,4689329.85159,19,T
1581013995275416183,78,1581013995268924951,,42.3371566667,-71.089845,0.326666666667,327837.031791,4689326.56756,19,T
1581013996275162022,79,1581013996268378019,,42.3371233333,-71.0898566667,0.325,327835.979675,4689322.88977,19,T
1581013997276102371,80,1581013997268853902,,42.3370883333,-71.0898583333,0.315,327835.746851,4689319.00666,19,T
1581013998275681752,81,1581013998268548011,,42.33706,-71.0898433333,0.3,327836.905293,4689315.83009,19,T
1581013999279885474,82,1581013999270816087,,42.3370333333,-71.089825,0.3,327838.3429,4689312.83184,19,T
1581014000277592969,83,1581014000271219015,,42.3370116667,-71.0897966667,0.305,327840.617995,4689310.36856,19,T
1581014001280057646,84,1581014001273017883,,42.3369916667,-71.089765,0.305,327843.172256,4689308.08359,19,T
1581014002276094094,85,1581014002269129037,,42.3369766667,-71.0897216667,0.3,327846.701314,4689306.33023,19,T
