%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581017570257996984,1,0,,0.1823,-0.0909,0.3664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570282851608,2,0,,0.1823,-0.0886,0.3676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570307974578,3,0,,0.1823,-0.0909,0.3676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570333120999,4,0,,0.1823,-0.0898,0.3639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570358138606,5,0,,0.1812,-0.0886,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570383314202,6,0,,0.1813,-0.0841,0.3599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570407761089,7,0,,0.1846,-0.0795,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570432767596,8,0,,0.1802,-0.084,0.3673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570457775414,9,0,,0.1824,-0.0829,0.3687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570482762380,10,0,,0.1824,-0.083,0.3562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570507892777,11,0,,0.1803,-0.0795,0.3598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570532841131,12,0,,0.1813,-0.0807,0.3648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570557922205,13,0,,0.1835,-0.0807,0.3699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570582696326,14,0,,0.1822,-0.0944,0.3627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570607838891,15,0,,0.1834,-0.091,0.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570632402570,16,0,,0.1845,-0.0808,0.3576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570657922110,17,0,,0.1813,-0.0818,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570682718164,18,0,,0.1823,-0.0898,0.3614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570707586153,19,0,,0.1845,-0.0888,0.3577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570732527896,20,0,,0.1846,-0.0762,0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570757700812,21,0,,0.1823,-0.0876,0.3601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570782596886,22,0,,0.1823,-0.0943,0.3664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570807177471,23,0,,0.1833,-0.0932,0.3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570833047417,24,0,,0.1812,-0.0909,0.3688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570858338293,25,0,,0.1813,-0.0864,0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570882542796,26,0,,0.1834,-0.0876,0.3626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570907248904,27,0,,0.1833,-0.0943,0.3715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570932623467,28,0,,0.1812,-0.0909,0.3688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017570957456270,29,0,,0.1812,-0.0898,0.3638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
